Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2025-03-03,131,NABIL,Nabil Bank Limited,523,529.2,515,515,110922,57782578.4,519,700,419,2025-03-03T14:59:49.192202,515,984,520.92,139343.54
2,2025-03-03,132,NIMB,Nepal Investment Mega Bank Limited,235,237.9,229.1,229.2,250979,58176144.7,233.5,295,147.4,2025-03-03T14:59:49.386369,229.2,701,231.79,78222.74
3,2025-03-03,139,NICA,NIC Asia Bank Ltd.,410,417.9,402,404,104126,42315621.7,410,573,341.6,2025-03-03T14:59:52.803113,404,662,406.38,60266.97
4,2025-03-03,141,LSL,Laxmi Sunrise Bank Limited,242,242,234,235.5,216182,51426764.9,239.9,300,143.6,2025-03-03T14:59:31.594702,235.5,476,237.88,57336.04
5,2025-03-03,148,TRH,Taragaon Regency Hotel Limited,1190,1190,1135,1139,6843,7892952.6,1167,1538,695.1,2025-03-03T14:59:36.360701,1139,82,1153.43,22348.55
6,2025-03-03,152,NHPC,National Hydro Power Company Limited,241.2,241.2,228,228.6,191298,44454159.5,236.5,290,136,2025-03-03T14:59:59.230612,228.6,770,232.38,5638.28
7,2025-03-03,154,CHCL,Chilime Hydropower Company Limited,556.2,558.3,537,539,91865,49966390.2,550.7,697,426.3,2025-03-03T14:57:37.954131,539,428,543.91,47337.12
8,2025-03-03,155,STC,Salt Trading Corporation,5660,5660,5520,5530,4224,23429885.4,5584,7000,4210,2025-03-03T14:59:53.613672,5530,106,5546.84,17735.66
9,2025-03-03,156,BBC,Bishal Bazar Company Limited,5724,5730,5520.1,5581.1,1271,7158142.5,5628,7247,3631,2025-03-03T14:58:10.216458,5581.1,69,5631.89,223802.11
10,2025-03-03,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,715,757,715,730,87801,64499761.8,706.9,930.2,600,2025-03-03T14:59:59.939357,730,757,734.61,19068.18
11,2025-03-03,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,918,929,902,902,24682,22566883.6,918,1155,800,2025-03-03T14:59:09.624497,902,256,914.3,29002.42
12,2025-03-03,171,SANIMA,Sanima Bank Limited,329.2,329.2,318,318.2,139589,44916147.3,322.8,382,228,2025-03-03T14:59:58.094095,318.2,526,321.77,43216.41
13,2025-03-03,176,NICL,Nepal Insurance Co. Ltd.,1030,1047,1015,1015,35759,36721143.2,1028,1162,800,2025-03-03T14:59:58.637486,1015,220,1026.9,16689.06
14,2025-03-03,178,NLICL,National Life Insurance Co. Ltd.,658,721.6,652,696.5,231279,160707419.4,656,776.1,521.3,2025-03-03T14:59:57.993643,696.5,1126,694.86,36302.51
15,2025-03-03,179,HEI,Himalayan Everest Insurance Limited,685,685,660,663,55954,37672885.7,672,810,540,2025-03-03T14:59:51.040219,663,283,673.28,16576.04
16,2025-03-03,182,SPIL,Siddhartha Premier Insurance Limited,924.2,980.4,904,961.7,106047,99033799.5,943,1076,711.5,2025-03-03T14:59:53.844284,961.7,512,933.86,26990.59
17,2025-03-03,184,PRIN,Prabhu Insurance Ltd.,1056,1077.1,1025.2,1025.6,25628,26888852.1,1039,1113,705,2025-03-03T14:59:43.301412,1025.6,185,1049.19,14783.9
18,2025-03-03,185,SALICO,Sagarmatha Lumbini Insurance Co. Limited,763,765,740.7,760.9,40443,30696888.7,754.8,926,602,2025-03-03T14:59:55.920148,760.9,200,759.01,19955.65
19,2025-03-03,186,IGI,IGI Prudential insurance Limited,663.8,664.2,641,642.2,69069,44926784.8,651.2,760,508,2025-03-03T14:59:59.258489,642.2,431,650.46,19454.39
20,2025-03-03,188,LICN,Life Insurance Corporation (Nepal) Limited,1366,1366,1301,1310,57893,76988127,1340,2475,1070,2025-03-03T14:59:49.823079,1310,498,1329.83,65500
21,2025-03-03,192,SICL,Shikhar Insurance Co. Ltd.,825,849.1,825,845,64291,53823207.9,820.1,1120,669.4,2025-03-03T14:59:56.062406,845,365,837.18,24677.73
22,2025-03-03,195,BNL,Bottlers Nepal (Balaju) Limited,21500,22368,19564,22260,791,17061866.4,21107.9,23756.4,14900,2025-03-03T14:59:54.950292,22260,36,21569.99,43382.22
23,2025-03-03,236,PFL,Pokhara Finance Ltd.,507,518,483,487,109590,54544899.2,498,795,339.9,2025-03-03T14:59:52.05121,487,880,497.71,5272.05
24,2025-03-03,238,NMB,NMB Bank Limited,269,273,265,265.1,226954,60959380.1,267.5,300,162,2025-03-03T14:59:46.936929,265.1,607,268.59,48690.14
25,2025-03-03,274,EDBL,Excel Development Bank Ltd.,750,752,730,730,46534,34393794.5,744,838.2,335.4,2025-03-03T14:59:51.575448,730,278,739.11,9122.77
26,2025-03-03,307,NTC,Nepal Doorsanchar Company Limited,988.3,996.3,960.1,963,67669,66183620.2,969,1214,800,2025-03-03T14:59:54.012845,963,571,978.04,173340
27,2025-03-03,341,GBIME,Global IME Bank Limited,239.7,239.7,231,231.2,177164,41502095.3,235,302,170,2025-03-03T14:59:58.454566,231.2,896,234.25,88123.85
28,2025-03-03,348,CZBIL,Citizens Bank International Limited,230,233,224,226,155235,35640410.5,229.8,296,152.5,2025-03-03T14:59:58.651729,226,456,229.59,33377.97
29,2025-03-03,357,PCBL,Prime Commercial Bank Ltd.,280,280,267.2,272,199335,54659295.4,277,329,186,2025-03-03T14:59:52.29354,272,520,274.2,52775.01
30,2025-03-03,385,ALICL,Asian Life Insurance Co. Limited,821,831,805.2,808,99727,81494995.6,818,831,523,2025-03-03T14:59:58.53792,808,475,817.18,27470.68
31,2025-03-03,401,MLBL,Mahalaxmi Bikas Bank Ltd.,412,416,403,403.6,44732,18185221.6,412,498,311.7,2025-03-03T14:59:57.064244,403.6,268,406.53,17340.51
32,2025-03-03,403,SJLIC,SuryaJyoti Life Insurance Company Limited,488,504,483,485,133992,66058187.9,488.2,644,395.1,2025-03-03T14:59:51.773146,485,963,493,24307.95
33,2025-03-03,417,GBBL,Garima Bikas Bank Limited,419.9,426.4,415,415.8,65900,27631448.9,415,531.4,350.1,2025-03-03T14:59:41.424052,415.8,380,419.29,23619.59
34,2025-03-03,418,JBBL,Jyoti Bikas Bank Limited,375,381,367,367,100692,37450326.3,375.4,445,275,2025-03-03T14:59:57.273928,367,427,371.92,16132.53
35,2025-03-03,474,MNBBL,Muktinath Bikas Bank Ltd.,395,396,386,388.5,87128,34132332.2,391.1,482,332.4,2025-03-03T14:59:57.968526,388.5,476,391.74,27377.35
36,2025-03-03,511,GBIMEP,Global IME Bank Ltd. Promoter Share,122,122,122,122,1074385,131074970,122,122,94.79,2025-03-03T13:43:33.976621,122,6,122,12.2
37,2025-03-03,516,MFIL,Manjushree Finance Ltd.,688.5,700,665,667,43926,29827106.2,675,917,480.2,2025-03-03T14:59:48.363575,667,361,679.03,9014.86
38,2025-03-03,517,NBL,Nepal Bank Limited,275.4,277,265.6,268,96838,26116591,271,337.5,195.1,2025-03-03T14:59:56.608827,268,462,269.69,39379.98
